Device_id,Component,Timestamp(us),Total Reserved(MB),Device
0,TEFUSION,1773303881890278.560	,0.0,NPU:0
0,TEFUSION,1773303881910262.120	,0.0,NPU:0
0,TEFUSION,1773303881930276.420	,0.0,NPU:0
0,TEFUSION,1773303881932130.970	,0.0,NPU:0
0,PROFILING,1773303881850306.220	,0.0,NPU:0
0,PROFILING,1773303881870285.400	,0.0,NPU:0
0,PROFILING,1773303881890278.560	,0.0,NPU:0
0,PROFILING,1773303881910262.120	,0.0,NPU:0
0,PROFILING,1773303881930276.420	,0.0,NPU:0
0,PROFILING,1773303881932130.970	,0.0,NPU:0
0,DP,1773303881850306.220	,0.0,NPU:0
0,DP,1773303881870285.400	,0.0,NPU:0
0,DP,1773303881890278.560	,0.0,NPU:0
0,DP,1773303881910262.120	,0.0,NPU:0
0,DP,1773303881930276.420	,0.0,NPU:0
0,DP,1773303881932130.970	,0.0,NPU:0
0,APP,1773303881850306.220	,98.0,NPU:0
0,APP,1773303881870285.400	,98.0,NPU:0
0,APP,1773303881890278.560	,98.0,NPU:0
0,APP,1773303881910262.120	,98.0,NPU:0
0,APP,1773303881930276.420	,98.0,NPU:0
0,APP,1773303881932130.970	,98.0,NPU:0
0,TS,1773303881850306.220	,0.0,NPU:0
0,TS,1773303881870285.400	,0.0,NPU:0
0,TS,1773303881890278.560	,0.0,NPU:0
0,TS,1773303881910262.120	,0.0,NPU:0
0,TS,1773303881930276.420	,0.0,NPU:0
0,TS,1773303881932130.970	,0.0,NPU:0
0,TSDUMP,1773303881850306.220	,0.0,NPU:0
0,TSDUMP,1773303881870285.400	,0.0,NPU:0
0,TSDUMP,1773303881890278.560	,0.0,NPU:0
0,TSDUMP,1773303881910262.120	,0.0,NPU:0
0,TSDUMP,1773303881930276.420	,0.0,NPU:0
0,TSDUMP,1773303881932130.970	,0.0,NPU:0
0,AICPU,1773303881850306.220	,0.0,NPU:0
0,AICPU,1773303881870285.400	,0.0,NPU:0
0,AICPU,1773303881890278.560	,0.0,NPU:0
0,AICPU,1773303881910262.120	,0.0,NPU:0
0,AICPU,1773303881930276.420	,0.0,NPU:0
0,AICPU,1773303881932130.970	,0.0,NPU:0
0,LP,1773303881850306.220	,0.0,NPU:0
0,LP,1773303881870285.400	,0.0,NPU:0
0,LP,1773303881890278.560	,0.0,NPU:0
0,LP,1773303881910262.120	,0.0,NPU:0
0,LP,1773303881930276.420	,0.0,NPU:0
0,LP,1773303881932130.970	,0.0,NPU:0
0,TDT,1773303881850306.220	,0.0,NPU:0
0,TDT,1773303881870285.400	,0.0,NPU:0
0,TDT,1773303881890278.560	,0.0,NPU:0
0,TDT,1773303881910262.120	,0.0,NPU:0
0,TDT,1773303881930276.420	,0.0,NPU:0
0,TDT,1773303881932130.970	,0.0,NPU:0
0,FE,1773303881850306.220	,0.0,NPU:0
0,FE,1773303881870285.400	,0.0,NPU:0
0,FE,1773303881890278.560	,0.0,NPU:0
0,FE,1773303881910262.120	,0.0,NPU:0
0,FE,1773303881930276.420	,0.0,NPU:0
0,FE,1773303881932130.970	,0.0,NPU:0
0,MD,1773303881850306.220	,0.0,NPU:0
0,MD,1773303881870285.400	,0.0,NPU:0
0,MD,1773303881890278.560	,0.0,NPU:0
0,MD,1773303881910262.120	,0.0,NPU:0
0,MD,1773303881930276.420	,0.0,NPU:0
0,MD,1773303881932130.970	,0.0,NPU:0
0,MB,1773303881850306.220	,0.0,NPU:0
0,MB,1773303881870285.400	,0.0,NPU:0
0,MB,1773303881890278.560	,0.0,NPU:0
0,MB,1773303881910262.120	,0.0,NPU:0
0,MB,1773303881930276.420	,0.0,NPU:0
0,MB,1773303881932130.970	,0.0,NPU:0
0,ME,1773303881850306.220	,0.0,NPU:0
0,ME,1773303881870285.400	,0.0,NPU:0
0,ME,1773303881890278.560	,0.0,NPU:0
0,ME,1773303881910262.120	,0.0,NPU:0
0,ME,1773303881930276.420	,0.0,NPU:0
0,ME,1773303881932130.970	,0.0,NPU:0
0,IMU,1773303881850306.220	,0.0,NPU:0
0,IMU,1773303881870285.400	,0.0,NPU:0
0,IMU,1773303881890278.560	,0.0,NPU:0
0,IMU,1773303881910262.120	,0.0,NPU:0
0,IMU,1773303881930276.420	,0.0,NPU:0
0,IMU,1773303881932130.970	,0.0,NPU:0
0,IMP,1773303881850306.220	,0.0,NPU:0
0,IMP,1773303881870285.400	,0.0,NPU:0
0,IMP,1773303881890278.560	,0.0,NPU:0
0,IMP,1773303881910262.120	,0.0,NPU:0
0,IMP,1773303881930276.420	,0.0,NPU:0
0,IMP,1773303881932130.970	,0.0,NPU:0
0,GE,1773303881850306.220	,0.0,NPU:0
0,GE,1773303881870285.400	,0.0,NPU:0
0,GE,1773303881890278.560	,0.0,NPU:0
0,GE,1773303881910262.120	,0.0,NPU:0
0,GE,1773303881930276.420	,0.0,NPU:0
0,GE,1773303881932130.970	,0.0,NPU:0
